"name","taxPercentage","companyId","id","createdAt","taxType","taxes","updatedAt","default"
"Exempt Tax","0","26df08fa-290d-47ff-b067-9503e8652925","7fea3889-890f-4682-aa15-1001e8740ca7","2023-07-19 07:49:19.898593","","[]","2023-07-19 07:49:19.898593",True
"Zero Tax","0","26df08fa-290d-47ff-b067-9503e8652925","e0d09589-4294-4c96-a339-bba3560b299d","2023-07-19 07:49:19.898593","","[]","2023-07-19 07:49:19.898593",True
"VAT 10%","10","26df08fa-290d-47ff-b067-9503e8652925","b53c70dc-07db-46a5-8393-ded5d7eed311","2023-07-19 07:49:19.898593","","[]","2023-07-19 07:49:19.898593",True
