"id","title","minSelectable","maxSelectable","translation","options","companyId","createdAt","updatedDate"
"e4acff25-34d1-4041-9326-1a09bb4ada44","Sweet",1,5,"{}","[{""optionId"":""3d7d1e9e-2b28-4ac1-9230-5d532819852e"",""index"":0,""name"":""Cookies""},{""optionId"":""2e857143-55a3-4906-a689-4bcc90a10a47"",""index"":0,""name"":""Oreo""},{""optionId"":""2164298e-0962-4b37-8980-f9b29a15cd75"",""index"":0,""name"":""Pistachio""},{""optionId"":""949f9a12-f868-4f91-9d85-2989afe7886a"",""index"":0,""name"":""Strawberries""},{""optionId"":""8d50927c-4664-42cd-b8cd-b440d9de020d"",""index"":0,""name"":""Berries""},{""optionId"":""71ecab6f-9cc5-4ba1-9a43-c2ef52a8b08f"",""index"":0,""name"":""Almond""},{""optionId"":""84340ce8-3598-441b-bdc5-723ff5e70942"",""index"":0,""name"":""SWT Honey""},{""optionId"":""b6095218-e236-4861-b52a-f156f9f8ef96"",""index"":0,""name"":""Choco Honey""},{""optionId"":""928877b0-e0bd-4075-a8bf-2e53cdc7adfc"",""index"":0,""name"":""Mix Sweet""},{""optionId"":""c8b49278-3952-478f-ab27-331d47cb11c8"",""index"":0,""name"":""Corn""}]","26df08fa-290d-47ff-b067-9503e8652925","2023-08-13 08:37:54.080386","2023-08-13 08:37:54.154"
"0389b6f4-edad-4edc-8372-a21613debb21","Pizza",1,1,"{}","[{""optionId"":""19748b34-bd79-4a2a-9bfc-c5e9107cc165"",""index"":0,""name"":""Cheese""},{""optionId"":""bf340feb-9d8b-4465-91a8-e8de9ca78f4f"",""index"":0,""name"":""Extra Tomato""},{""optionId"":""e9e8d365-5918-42c8-8576-35a7ad7f7b8c"",""index"":0,""name"":""No Sauce""}]","26df08fa-290d-47ff-b067-9503e8652925","2023-08-13 08:24:22.114259","2023-08-13 11:33:10.641"
"7eaeef76-a448-4e8e-b6a0-c332a5b912b5","Sandwiches ",0,1,"{}","[{""optionId"":""f7378a4c-11f8-4626-8215-0c7263f8504b"",""index"":0,""name"":""Spicy""},{""optionId"":""19748b34-bd79-4a2a-9bfc-c5e9107cc165"",""index"":0,""name"":""Cheese""},{""optionId"":""36647800-e5e4-4410-b4c3-1e927d18605e"",""index"":0,""name"":""No Lettuce""},{""optionId"":""e9e8d365-5918-42c8-8576-35a7ad7f7b8c"",""index"":0,""name"":""No Sauce""},{""optionId"":""bf340feb-9d8b-4465-91a8-e8de9ca78f4f"",""index"":0,""name"":""Extra Tomato""},{""optionId"":""6d6a186a-0e21-4acb-95bf-261ea0c8e67f"",""index"":0,""name"":""Extra Bacon""},{""optionId"":""5a101b95-4a47-4bdf-b38c-f9f72fc0b158"",""index"":0,""name"":""Extra Cheese""},{""optionId"":""c0a02bc2-1f47-40c4-b015-87d0ca2a5903"",""index"":0,""name"":""No Onion""},{""optionId"":""3732e313-f790-48a6-93d2-4e94ad158a5b"",""index"":0,""name"":""Extra Onions""},{""optionId"":""70f94bca-a2b2-4c74-b08d-54dae05019be"",""index"":0,""name"":""mayonnaise""}]","26df08fa-290d-47ff-b067-9503e8652925","2023-08-13 08:36:49.223092","2023-08-13 10:28:59.928"
"7bac9768-d617-4e54-a73a-8b47833da478","Size",1,1,"{}","[{""optionId"":""265da846-422f-49fa-b4f4-57d9f0be8a6b"",""index"":0,""name"":""Small""},{""optionId"":""ed79a775-cf89-4d7c-bd81-acd21ee7278d"",""index"":0,""name"":""Medium""},{""optionId"":""39fd3f32-638f-4f51-ac42-b983c556d843"",""index"":0,""name"":""Large""}]","26df08fa-290d-47ff-b067-9503e8652925","2023-08-13 10:23:44.409612","2023-08-13 10:36:05.209"
"c1c91832-08d9-484d-b4e8-88c038b4371d","Sauce ",1,1,"{}","[{""optionId"":""e9e8d365-5918-42c8-8576-35a7ad7f7b8c"",""index"":0,""name"":""No Sauce""},{""optionId"":""41b7e526-ecbb-40cd-952f-4edb00b93883"",""index"":0,""name"":""Italians""},{""optionId"":""51edc520-c14f-415e-92d9-4705e432ead3"",""index"":0,""name"":""Honey mustard""},{""optionId"":""b4327d33-79bf-4717-b5b2-e2dbde25fd50"",""index"":0,""name"":""BBQ Sauce""},{""optionId"":""c0cd1a32-8da6-4379-8085-8c50fc97abc4"",""index"":0,""name"":""Garlic Sauce""}]","26df08fa-290d-47ff-b067-9503e8652925","2023-08-13 08:40:25.408205","2023-08-13 10:48:28.482"
